,num_points,final_2D,final_2D_robust,triangle_incremental,triangle_dnc,qhull
0,10.0,0.00016736984252929688,0.00011324882507324219,8.225440979003906e-05,4.0531158447265625e-05,0.00019216537475585938
1,20.0,0.00010848045349121094,0.00013518333435058594,5.626678466796875e-05,4.458427429199219e-05,0.00014448165893554688
2,50.0,0.00013303756713867188,0.00023627281188964844,7.724761962890625e-05,6.270408630371094e-05,0.00022840499877929688
3,100.0,0.00016021728515625,0.0003895759582519531,0.00011444091796875,9.775161743164062e-05,0.0003712177276611328
4,200.0,0.0002429485321044922,0.0007166862487792969,0.00018906593322753906,0.00016617774963378906,0.0006532669067382812
5,500.0,0.0004601478576660156,0.001703500747680664,0.00044846534729003906,0.0003762245178222656,0.0015347003936767578
6,1000.0,0.0008616447448730469,0.00353240966796875,0.0010259151458740234,0.0007255077362060547,0.0032143592834472656
7,2000.0,0.0016400814056396484,0.00661158561706543,0.002053499221801758,0.0014598369598388672,0.006873607635498047
8,5000.0,0.0038983821868896484,0.016196727752685547,0.0063419342041015625,0.003552675247192383,0.01706695556640625
9,10000.0,0.007731437683105469,0.034087419509887695,0.015098333358764648,0.0072443485260009766,0.037120819091796875
10,20000.0,0.016472816467285156,0.06605672836303711,0.042890071868896484,0.015230894088745117,0.09321069717407227
11,50000.0,0.04839277267456055,0.1647779941558838,0.12671780586242676,0.04301881790161133,0.2722358703613281
12,100000.0,0.09609317779541016,0.3294413089752197,0.448305606842041,0.09483051300048828,0.63667893409729
13,200000.0,0.1837174892425537,0.6630988121032715,1.7009105682373047,0.18911290168762207,1.3714909553527832
14,500000.0,0.4535531997680664,1.679609775543213,8.635246992111206,0.5498106479644775,4.160633087158203
15,1000000.0,0.8990561962127686,3.389741897583008,23.590357065200806,1.2476911544799805,9.174445629119873
