,num_points,final_2D--non_robust),final_2D_robust--no_static_filters),final_2D_robust--with_static_filters),triangle--incremental,triangle--dnc,qhull
0,10.0,0.000232696533203125,0.00029730796813964844,0.0001480579376220703,9.918212890625e-05,5.459785461425781e-05,0.0002090930938720703
1,20.0,0.000152587890625,0.0003046989440917969,0.00015544891357421875,7.557868957519531e-05,5.793571472167969e-05,0.00018978118896484375
2,50.0,0.00016689300537109375,0.00047850608825683594,0.0002777576446533203,0.00011801719665527344,9.107589721679688e-05,0.0003628730773925781
3,100.0,0.0002620220184326172,0.0008087158203125,0.00038552284240722656,0.0001728534698486328,0.0001308917999267578,0.0005540847778320312
4,200.0,0.0003654956817626953,0.0015385150909423828,0.0005965232849121094,0.0002536773681640625,0.0002219676971435547,0.0009062290191650391
5,500.0,0.0006079673767089844,0.0030770301818847656,0.0011599063873291016,0.0005590915679931641,0.0004394054412841797,0.0018248558044433594
6,1000.0,0.0009982585906982422,0.00527644157409668,0.0019268989562988281,0.0009658336639404297,0.0007593631744384766,0.003320932388305664
7,2000.0,0.0016412734985351562,0.010761737823486328,0.0036361217498779297,0.0020122528076171875,0.0014247894287109375,0.006597757339477539
8,5000.0,0.00394892692565918,0.024844646453857422,0.008830070495605469,0.006365060806274414,0.0041277408599853516,0.017169475555419922
9,10000.0,0.007970571517944336,0.05011940002441406,0.018492698669433594,0.015209436416625977,0.00726771354675293,0.03763103485107422
10,20000.0,0.015414714813232422,0.09636545181274414,0.03731942176818848,0.041460514068603516,0.01729416847229004,0.09124040603637695
11,50000.0,0.04931044578552246,0.23883891105651855,0.09234881401062012,0.13374018669128418,0.043811798095703125,0.2766599655151367
12,100000.0,0.09868025779724121,0.48187804222106934,0.18479371070861816,0.4877641201019287,0.10289263725280762,0.6445856094360352
13,200000.0,0.18758821487426758,0.9609463214874268,0.3613557815551758,1.695997953414917,0.18770909309387207,1.359217643737793
14,500000.0,0.4561138153076172,2.431933641433716,0.9348514080047607,9.153034925460815,0.5723721981048584,4.227097272872925
15,1000000.0,0.9094944000244141,4.8637096881866455,1.9266784191131592,25.76158118247986,1.263289451599121,9.268509149551392
