,num_points,final_2D,final_2D_robust,triangle_incremental,triangle_dnc,qhull
0,10.0,0.0001780986785888672,0.00019550323486328125,9.655952453613281e-05,4.1961669921875e-05,0.00020885467529296875
1,20.0,0.000110626220703125,0.0002288818359375,7.486343383789062e-05,4.506111145019531e-05,0.0001456737518310547
2,50.0,0.00012874603271484375,0.0003476142883300781,8.606910705566406e-05,6.318092346191406e-05,0.0002295970916748047
3,100.0,0.00016880035400390625,0.0005831718444824219,0.00012159347534179688,9.894371032714844e-05,0.00036144256591796875
4,200.0,0.00024628639221191406,0.001032114028930664,0.00019621849060058594,0.00016951560974121094,0.0006501674652099609
5,500.0,0.0004680156707763672,0.0023651123046875,0.0004596710205078125,0.0003783702850341797,0.0015795230865478516
6,1000.0,0.000982522964477539,0.00492405891418457,0.000965118408203125,0.0007195472717285156,0.0032181739807128906
7,2000.0,0.0016579627990722656,0.009866714477539062,0.002195596694946289,0.0014863014221191406,0.0065805912017822266
8,5000.0,0.003952741622924805,0.024765491485595703,0.006235599517822266,0.003546476364135742,0.02251458168029785
9,10000.0,0.007885217666625977,0.04914593696594238,0.017154932022094727,0.007266044616699219,0.03839540481567383
10,20000.0,0.01653885841369629,0.09489965438842773,0.04643893241882324,0.018605470657348633,0.09237933158874512
11,50000.0,0.04927372932434082,0.2396693229675293,0.1336967945098877,0.046029090881347656,0.26940369606018066
12,100000.0,0.1005704402923584,0.4794745445251465,0.46686410903930664,0.09855127334594727,0.6412222385406494
13,200000.0,0.18544435501098633,0.962700605392456,1.699650764465332,0.18865251541137695,1.3507206439971924
14,500000.0,0.46346116065979004,2.4082541465759277,8.259600400924683,0.5546600818634033,4.174852132797241
15,1000000.0,0.9199020862579346,4.822850465774536,24.289321899414062,1.2511401176452637,9.176435232162476
