,num_points,final_3D,qhull
0,10.0,0.00029468536376953125,0.00025653839111328125
1,20.0,0.00024080276489257812,0.00014972686767578125
2,50.0,0.00034546852111816406,0.0002276897430419922
3,100.0,0.0005435943603515625,0.00035691261291503906
4,200.0,0.0009105205535888672,0.0006413459777832031
5,500.0,0.0021800994873046875,0.0015442371368408203
6,1000.0,0.004540920257568359,0.004033088684082031
7,2000.0,0.008796930313110352,0.008087635040283203
8,5000.0,0.022548198699951172,0.018636226654052734
9,10000.0,0.048506736755371094,0.038802385330200195
10,20000.0,0.09805417060852051,0.09055566787719727
11,50000.0,0.41944241523742676,0.27577900886535645
12,100000.0,0.5366189479827881,0.6192479133605957
13,200000.0,1.017728567123413,1.3768501281738281
14,500000.0,2.570296049118042,4.1549224853515625
15,1000000.0,5.387296438217163,8.93510890007019
16,2000000.0,11.095505952835083,25.56158757209778
17,5000000.0,29.723498106002808,69.49913668632507
18,10000000.0,62.63307738304138,148.75055813789368
